factor(因子名称),ic_mean(IC均值-预测力),ic_std(IC标准差-稳定性),icir(IC信息比率-综合评分),abs_icir(ICIR绝对值-排序用),abs_ic_mean(IC均值绝对值),win_rate(IC>0胜率),t_stat(t检验统计量),p_value(p值-显著性),n(有效交易日数),effective(是否有效因子),q_mono_score(分层单调性-1~1),q_spread(Q5-Q1收益差),turnover(日均换手率),recent_ic_ratio(近30日IC/总体IC)
stock_max_dd_d0,0.1181,0.1374,0.8589,0.8589,0.1181,0.8158,9.1706,0.0,114,True,1.0,0.1261,0.727,1.0667
stock_vwap_dev_d1,0.1057,0.125,0.8453,0.8453,0.1057,0.7982,9.025,0.0,114,True,1.0,0.1121,0.7738,0.9926
stock_amount_d0,0.1056,0.1267,0.8336,0.8336,0.1056,0.807,8.9004,0.0,114,True,1.0,0.1184,0.4259,0.9022
stock_upper_shadow_d0,0.1003,0.1345,0.7452,0.7452,0.1003,0.7719,7.9566,0.0,114,True,1.0,0.1261,0.7958,1.3558
stock_sector_20d_rank,-0.1023,0.1398,-0.7319,0.7319,0.1023,0.2456,-7.8144,0.0,114,True,-1.0,-0.0929,0.4205,0.9458
stock_amount_d1,0.0828,0.1291,0.6412,0.6412,0.0828,0.7632,6.8457,0.0,114,True,1.0,0.0835,0.4107,0.4766
stock_vwap_dev_d0,0.085,0.1467,0.5796,0.5796,0.085,0.7281,6.1884,0.0,114,True,1.0,0.0914,0.7551,0.7735
bias13,0.0954,0.1777,0.5366,0.5366,0.0954,0.7105,5.7298,0.0,114,True,1.0,0.1009,0.5551,1.654
bias10,0.0921,0.1817,0.5069,0.5069,0.0921,0.7105,5.4124,0.0,114,True,0.7,0.0974,0.586,1.7122
pos_20d,0.0819,0.1624,0.5045,0.5045,0.0819,0.7018,5.3865,0.0,114,True,1.0,0.0916,0.6731,1.7634
stock_vwap_dev_d2,0.0648,0.1309,0.4948,0.4948,0.0648,0.7105,5.2832,0.0,114,False,0.9,0.0674,0.7426,1.0458
stock_profit_d1,0.074,0.1599,0.4629,0.4629,0.074,0.6842,4.9421,0.0,114,False,0.3,0.0339,0.9232,1.4954
ma5_slope,0.0795,0.1791,0.444,0.444,0.0795,0.6667,4.7403,0.0,114,False,0.9,0.086,0.5856,1.594
bias5,0.0772,0.1793,0.4307,0.4307,0.0772,0.693,4.5983,0.0,114,False,0.7,0.0836,0.7131,1.6822
stock_amount_d2,0.0612,0.1422,0.4303,0.4303,0.0612,0.6842,4.5942,0.0,114,False,0.9,0.0625,0.3971,0.3004
stock_max_dd_d2,0.0566,0.132,0.4288,0.4288,0.0566,0.6842,4.5784,0.0,114,False,1.0,0.0584,0.7063,0.7526
stock_profit_d3,0.0538,0.1287,0.4182,0.4182,0.0538,0.6491,4.4651,0.0,114,False,0.9,0.1155,0.8025,0.9151
stock_max_dd_d1,0.0607,0.1479,0.4103,0.4103,0.0607,0.6754,4.3811,0.0,114,False,0.9,0.0621,0.6956,0.3742
stock_seal_times_d1,0.0637,0.1564,0.4071,0.4071,0.0637,0.6053,4.3471,0.0,114,False,,,0.8499,1.0786
stock_hdi_d0,0.0508,0.1294,0.3927,0.3927,0.0508,0.6316,4.1932,0.0001,114,False,0.7,0.0691,0.8521,1.2026
pos_5d,0.0684,0.1791,0.3818,0.3818,0.0684,0.6579,4.0767,0.0001,114,False,0.3,0.0174,0.7538,1.8071
stock_lower_shadow_d0,0.0487,0.1301,0.3744,0.3744,0.0487,0.7193,3.9977,0.0001,114,False,0.4,0.0364,0.8189,0.8677
stock_pct_chg_d3,0.0491,0.1357,0.3622,0.3622,0.0491,0.6491,3.8668,0.0002,114,False,1.0,0.0561,0.8002,1.2668
stock_candle_d3,0.0462,0.1288,0.3588,0.3588,0.0462,0.5789,3.8307,0.0002,114,False,,,0.7748,1.1422
stock_float_profit_time_ratio_d3,0.0476,0.1333,0.3574,0.3574,0.0476,0.6667,3.8157,0.0002,114,False,0.8,0.0226,0.7932,1.8114
stock_red_time_ratio_d3,0.0476,0.1333,0.3574,0.3574,0.0476,0.6667,3.8157,0.0002,114,False,0.8,0.0226,0.7932,1.8114
stock_pct_chg_d1,0.052,0.1614,0.3218,0.3218,0.052,0.6316,3.4361,0.0008,114,False,0.4,0.0491,0.9118,1.8259
stock_float_profit_time_ratio_d1,0.0481,0.1515,0.3173,0.3173,0.0481,0.6404,3.3874,0.001,114,False,0.8,0.0061,0.8783,1.6708
stock_red_time_ratio_d1,0.0481,0.1515,0.3173,0.3173,0.0481,0.6404,3.3874,0.001,114,False,0.8,0.0061,0.8783,1.6708
stock_profit_d2,0.0477,0.1514,0.3149,0.3149,0.0477,0.6579,3.3621,0.0011,114,False,0.6,0.0543,0.8229,1.5295
stock_cpr_d1,0.0483,0.158,0.3058,0.3058,0.0483,0.6228,3.2647,0.0015,114,False,0.4,0.0479,0.9535,1.7252
stock_break_times_d0,0.0347,0.1205,0.2883,0.2883,0.0347,0.5044,3.065,0.0027,113,False,,,0.5748,1.3487
stock_pct_chg_d2,0.0435,0.1518,0.2864,0.2864,0.0435,0.6491,3.0581,0.0028,114,False,0.6,0.0527,0.8047,1.6558
stock_candle_d1,0.0419,0.1467,0.2858,0.2858,0.0419,0.6754,3.0515,0.0028,114,False,,,0.8115,1.9541
stock_loss_d3,-0.0338,0.1278,-0.2646,0.2646,0.0338,0.3772,-2.8246,0.0056,114,False,-0.4,-0.0732,0.8193,1.8579
stock_seal_times_d0,0.0301,0.1141,0.264,0.264,0.0301,0.4867,2.8063,0.0059,113,False,,,0.5587,1.42
from_high_20d,-0.0437,0.1655,-0.2638,0.2638,0.0437,0.3684,-2.817,0.0057,114,False,-0.7,-0.0402,0.4245,3.1853
stock_lower_shadow_d2,0.0316,0.1203,0.2626,0.2626,0.0316,0.5877,2.804,0.0059,114,False,0.7,0.0119,0.7986,0.9562
stock_break_times_d1,0.037,0.1415,0.2618,0.2618,0.037,0.5526,2.7957,0.0061,114,False,,,0.7202,0.6862
stock_cpr_d3,0.0327,0.1274,0.2566,0.2566,0.0327,0.6228,2.7394,0.0072,114,False,0.4,0.0396,0.8534,0.8224
stock_lower_shadow_d1,0.0352,0.1375,0.2558,0.2558,0.0352,0.5702,2.731,0.0073,114,False,0.4,0.0292,0.8095,1.2992
ma_align,0.0362,0.1426,0.2537,0.2537,0.0362,0.6404,2.7087,0.0078,114,False,,,0.4561,2.2083
stock_red_time_ratio_d2,0.0366,0.1498,0.2445,0.2445,0.0366,0.614,2.6109,0.0103,114,False,0.6,0.0241,0.8191,2.1533
stock_float_profit_time_ratio_d2,0.0366,0.1498,0.2445,0.2445,0.0366,0.614,2.6109,0.0103,114,False,0.6,0.0241,0.8191,2.1533
stock_seal_times_d2,0.0347,0.1443,0.2404,0.2404,0.0347,0.5175,2.5671,0.0116,114,False,,,0.779,1.6639
stock_max_dd_d4,0.0367,0.1563,0.2348,0.2348,0.0367,0.6316,2.5071,0.0136,114,False,0.8,0.0278,0.6917,0.0107
stock_upper_shadow_d4,0.0305,0.1334,0.2287,0.2287,0.0305,0.5965,2.4415,0.0162,114,False,0.6,0.0438,0.8049,0.2636
stock_seal_times_d3,0.0276,0.1229,0.225,0.225,0.0276,0.614,2.4021,0.0179,114,False,,,0.7753,0.0372
stock_red_session_pm_ratio_d1,0.0252,0.1131,0.2231,0.2231,0.0252,0.5614,2.3821,0.0189,114,False,1.0,0.0253,0.8462,1.7826
stock_float_session_pm_ratio_d1,0.0252,0.1131,0.2231,0.2231,0.0252,0.5614,2.3821,0.0189,114,False,1.0,0.0253,0.8462,1.7826
stock_vwap_dev_d3,0.0294,0.1349,0.2183,0.2183,0.0294,0.6667,2.3304,0.0216,114,False,0.3,0.0425,0.7383,0.3454
stock_hdi_d1,-0.0308,0.1415,-0.2177,0.2177,0.0308,0.4386,-2.3242,0.0219,114,False,-0.3,-0.0414,0.827,2.8498
stock_cpr_d2,0.0315,0.1475,0.2136,0.2136,0.0315,0.5789,2.2803,0.0245,114,False,0.7,0.0345,0.8578,1.187
stock_break_times_d2,0.0259,0.1232,0.2098,0.2098,0.0259,0.5526,2.2402,0.027,114,False,,,0.6843,2.2125
stock_amount_d3,0.0297,0.1494,0.1988,0.1988,0.0297,0.614,2.1224,0.036,114,False,0.8,0.0295,0.4083,1.8906
stock_float_profit_time_ratio_d0,0.0314,0.1602,0.1959,0.1959,0.0314,0.6053,2.0916,0.0387,114,False,0.6,0.0482,0.8997,2.47
stock_red_time_ratio_d0,0.0314,0.1602,0.1959,0.1959,0.0314,0.6053,2.0916,0.0387,114,False,0.6,0.0482,0.8997,2.47
stock_candle_d2,0.0288,0.1485,0.1942,0.1942,0.0288,0.5877,2.0731,0.0404,114,False,,,0.7708,1.5609
stock_cpr_d0,-0.0306,0.1576,-0.1939,0.1939,0.0306,0.386,-2.0705,0.0407,114,False,-0.9,-0.0438,0.8708,1.2693
stock_high_d0,0.029,0.1502,0.1932,0.1932,0.029,0.5789,2.0633,0.0414,114,False,0.7,0.0425,0.3489,0.0848
stock_amount_d4,0.0295,0.1542,0.1912,0.1912,0.0295,0.6228,2.0414,0.0435,114,False,0.7,0.0313,0.4144,1.2341
stock_trend_r2_d0,-0.0266,0.1436,-0.1851,0.1851,0.0266,0.4035,-1.9762,0.0506,114,False,-0.8,-0.0277,0.8532,2.5383
stock_upper_shadow_d2,0.0245,0.1336,0.1838,0.1838,0.0245,0.5263,1.962,0.0522,114,False,0.4,0.0336,0.7831,0.3659
stock_open_d0,0.0266,0.1508,0.1762,0.1762,0.0266,0.5439,1.8809,0.0626,114,False,0.7,0.0428,0.3489,0.2189
stock_gap_return_d4,-0.0247,0.1401,-0.176,0.176,0.0247,0.4386,-1.8794,0.0628,114,False,-0.7,-0.0295,0.768,0.1876
stock_close_d0,0.026,0.1499,0.1734,0.1734,0.026,0.5439,1.8516,0.0667,114,False,0.7,0.0358,0.348,0.3057
stock_vwap_dev_d4,0.0257,0.1494,0.1718,0.1718,0.0257,0.5877,1.8341,0.0693,114,False,0.7,0.0251,0.7337,0.2484
stock_high_d1,0.0258,0.1508,0.1714,0.1714,0.0258,0.5526,1.8297,0.0699,114,False,0.7,0.039,0.3423,0.4278
stock_close_d1,0.0251,0.1504,0.1672,0.1672,0.0251,0.5439,1.7857,0.0768,114,False,0.7,0.0345,0.3446,0.4421
sector_avg_profit_d1,0.0217,0.1297,0.1672,0.1672,0.0217,0.5263,1.7852,0.0769,114,False,,,0.7531,2.362
stock_low_d0,0.0248,0.1503,0.1651,0.1651,0.0248,0.5263,1.7631,0.0806,114,False,0.7,0.0348,0.3446,0.3442
stock_lift_times_d2,-0.018,0.1149,-0.1567,0.1567,0.018,0.3371,-1.4785,0.1428,89,False,,,0.5084,0.0492
stock_hdi_d3,-0.02,0.1289,-0.1549,0.1549,0.02,0.4649,-1.6537,0.101,114,False,-0.7,-0.0214,0.8319,1.9376
stock_loss_d1,-0.0231,0.1516,-0.1525,0.1525,0.0231,0.4211,-1.6284,0.1062,114,False,0.7,0.0542,0.8042,3.3367
stock_trend_r2_d1,0.0163,0.1079,0.1512,0.1512,0.0163,0.5965,1.6141,0.1093,114,False,0.5,0.0166,0.8834,0.5188
stock_high_d2,0.0224,0.1522,0.1472,0.1472,0.0224,0.5614,1.5715,0.1189,114,False,0.5,0.0295,0.3325,0.7089
ma5,0.0215,0.1507,0.1427,0.1427,0.0215,0.5526,1.5232,0.1305,114,False,0.7,0.0266,0.3339,0.7907
stock_open_d1,0.0215,0.1518,0.1417,0.1417,0.0215,0.5351,1.5131,0.133,114,False,0.7,0.0317,0.3379,0.8174
stock_low_d1,0.0214,0.1509,0.1415,0.1415,0.0214,0.5439,1.511,0.1336,114,False,0.7,0.0336,0.3339,0.8176
stock_close_d2,0.021,0.1514,0.1384,0.1384,0.021,0.5439,1.4774,0.1423,114,False,0.7,0.0256,0.338,0.8718
sector_avg_profit_d0,-0.0175,0.1314,-0.1335,0.1335,0.0175,0.4825,-1.4251,0.1569,114,False,,,0.7279,2.1418
stock_hdi_d4,0.0166,0.1264,0.1317,0.1317,0.0166,0.5789,1.4063,0.1624,114,False,0.7,0.0182,0.827,0.4332
stock_gap_return_d1,0.0191,0.1481,0.1287,0.1287,0.0191,0.5439,1.3737,0.1723,114,False,0.4,0.0151,0.8163,2.3628
stock_open_d2,0.0191,0.152,0.1259,0.1259,0.0191,0.5263,1.3438,0.1817,114,False,0.7,0.0298,0.3348,1.0618
stock_lift_times_d4,0.0148,0.1191,0.1246,0.1246,0.0148,0.4333,1.1818,0.2404,90,False,,,0.5135,0.3905
stock_low_d2,0.0187,0.1518,0.123,0.123,0.0187,0.5,1.313,0.1918,114,False,0.5,0.0252,0.3333,1.1616
stock_close_d3,0.0176,0.1517,0.1158,0.1158,0.0176,0.5263,1.2362,0.219,114,False,0.5,0.0252,0.3285,1.4291
sector_avg_loss_d2,-0.0167,0.1478,-0.1129,0.1129,0.0167,0.4867,-1.2001,0.2326,113,False,,,0.7306,2.0482
stock_lower_shadow_d3,0.0134,0.1189,0.1123,0.1123,0.0134,0.5088,1.1989,0.2331,114,False,0.7,0.0227,0.7864,0.5466
